stname,fips,trump,clinton,totalvotes,white,poverty,population
Arkansas,5077,1229,1735,3026,43.649750197212725,35.879383634431456,9360
Arkansas,5079,2455,1252,3826,64.073488045007025,27.593886020852317,13810
Arkansas,5081,3605,1397,5227,75.83934088568486,17.4762020990969,12430
Arkansas,5083,5746,1715,7921,92.80260432080497,18.171138574315115,21713
Arkansas,5085,19958,5664,27100,88.43422068991504,12.434369880850706,71757
Arkansas,5087,4928,1588,6841,92.60614934114201,18.27430293896006,16105
Arkansas,5089,5336,1434,7107,96.51327038881867,20.724296167679523,16369
Arkansas,5091,11294,4273,16091,72.30870751972165,22.43308313270075,43874
Arkansas,5093,7061,5670,13204,62.235189648610934,24.63726544759173,42885
Arkansas,5095,1489,1312,2884,57.88461538461539,27.02817499646043,7235
Arkansas,5097,2643,748,3559,93.79727685325264,22.39010989010989,8949
Arkansas,5099,2000,1157,3246,65.58032282859338,20.418084589207584,8374
Arkansas,5101,2875,699,3753,96.08155463523416,19.94904458598726,7869
Arkansas,5103,5351,4321,9935,58.783347676419965,24.71791404302075,24019
Arkansas,5105,3008,1049,4306,95.01374656335916,16.866387058118633,10273
Arkansas,5107,2446,4310,6953,38.42605733749645,32.26874599444563,19050
Arkansas,5109,3150,685,3981,89.74419706300331,18.18954124976402,10817
Arkansas,5111,5502,1880,7722,89.64667214461791,22.658763759525826,24008
Arkansas,5113,6618,1212,8231,91.77780655185809,23.360737918588327,20141
Arkansas,5115,16256,5000,22569,87.41149499908705,17.464887758005926,63852
Arkansas,5117,2505,814,3444,86.91019786910198,17.785731918044927,8271
Arkansas,5119,61257,89574,159776,57.54204785070315,17.24934568935464,393677
Arkansas,5121,4509,1425,6379,96.54480606330806,18.943971839249045,17408
Arkansas,5123,3195,4031,7430,43.35926105979582,31.593493724797245,26304
Arkansas,5125,35863,13256,52100,88.15106776226423,8.665097397059325,117577
Arkansas,5127,2731,602,3510,88.21676118462508,19.654491609081933,10360
Arkansas,5129,2955,601,3728,96.03600758054327,23.052484432583555,7965
Arkansas,5131,29127,12300,44637,75.41249857759111,16.92993437577246,127567
Arkansas,5133,3282,1075,4562,64.93495801086777,20.788336933045358,16955
Arkansas,5135,5407,1472,7249,95.77088588811397,21.34200413833875,17138
Arkansas,5137,4113,1203,5618,96.4929759888413,21.820388349514563,12500
Arkansas,5139,10456,5855,16894,64.50524365633375,19.336707444238154,39867
Arkansas,5141,5382,1549,7339,95.68913632260005,16.72267367263396,16622
Arkansas,5143,41476,33366,81861,77.58535089512573,15.765517178470928,227600
Arkansas,5145,21077,5170,27219,90.82376783667503,15.698152222899711,78838
Arkansas,5147,1347,1118,2571,71.81349130517867,26.27378759975445,6623
Arkansas,5149,4608,1480,6439,80.46296296296296,18.037047538039882,21486
California,6001,95922,514842,654266,35.913797770542345,10.708980643838348,1653236
California,6003,217,334,602,72.01834862385321,18.632958801498127,1057
California,6005,10485,6004,17734,81.8457744475007,11.253840526700804,37473
California,6007,45144,41567,95564,77.45043337992145,19.54868941675332,226525
California,6009,13511,7944,23136,85.28252649518028,13.064707595135172,45315
California,6011,3551,2661,6632,41.933222887727794,11.133508344271517,21645
California,6013,115956,319287,466175,49.04916760802839,8.665937792256582,1138645
California,6015,5134,3485,9558,68.05094130675526,23.709415584415584,27450
California,6017,49247,36404,93591,82.15480960237029,8.718174027185647,186272
California,6019,124049,141341,282319,35.09195400655211,25.452897328043345,979534
California,6021,5788,3065,9470,57.60732015964179,16.699715181887008,27967
California,6023,18373,33200,59246,80.12462476121168,20.019544463654814,136449
California,6025,12704,32667,48091,13.044186425297251,23.580144381268767,180980
California,6027,4248,3155,8086,69.68998743192292,12.257267931305421,18034
California,6029,129584,98689,244163,40.00223223183322,22.398589892588376,885086
California,6031,18093,13617,33915,37.31788322507248,17.40474817881662,149797
California,6033,10599,11496,24496,77.11080883947405,20.684250522449496,63950
California,6035,7574,2224,10524,67.1483246114192,17.597897729720415,30944
California,6037,769743,2464364,3434308,29.990593762567126,16.32396802708249,10150558
California,6039,23357,17029,43112,40.716626883750756,20.42011206615167,154966
California,6041,21771,108707,139273,75.96719942805322,7.841501892315077,261532
California,6043,5185,3122,8877,83.8566552901024,17.87706251452475,17524
California,6045,10888,22079,37477,72.25940995464555,18.954634423172696,87609
California,6047,28725,37317,70789,33.42707936104402,20.294287494491133,268878
California,6049,2696,877,3788,81.01826231322634,18.417350527549825,8941
California,6051,2111,2773,5276,72.17178770949721,11.478500471321878,14101
California,6053,34895,89088,133408,36.444365702492185,12.924652951798127,436363
California,6055,17411,39199,61372,58.95879108560155,7.948355275087948,141649
California,6057,23365,26053,54935,88.94532014881536,10.861747537209279,99053
California,6059,507148,609961,1197521,45.475561440080675,11.115176137486428,3177703
California,6061,95138,73509,182839,77.36404189755281,7.237590999338186,379742
California,6063,5420,3459,9676,87.48559723466906,12.6297388834262,18787
California,6065,333243,373695,751391,41.23873298348397,15.288479353537001,2386522
California,6067,189789,326023,559330,50.5550314533764,16.303293698726154,1513260
California,6069,7841,12521,21924,40.33302919708029,10.513654536829979,59335
California,6071,271240,340833,653983,33.65803943118393,17.558897717750614,2137131
California,6073,477766,735476,1306400,50.736568106038916,12.415279408031255,3317200
California,6075,37688,345084,405792,43.75526508335146,10.24554729379215,876103
California,6077,88936,121124,224166,38.11695722029521,14.62589807110097,734294
California,6079,56164,67107,135009,73.73329416948157,10.961242510720316,282282
California,6081,57929,237882,314384,42.833192388310664,6.647880343953141,769561
California,6083,56365,107142,176786,51.31024409394268,13.89932873356893,446296
California,6085,144826,511684,703709,35.99159732882662,9.27770734284205,1931575
California,6087,22438,95249,128821,63.46460751115551,13.431519735466829,275196
California,6089,51778,22301,80053,84.46867845400016,17.161867290755126,178774
California,6091,1048,601,1830,87.5598086124402,14.423407917383821,2964
California,6093,11341,7234,20492,81.97557181540589,18.837112060955214,43511
California,6095,51920,102360,166113,43.3714352706703,11.351314814210529,440318
California,6097,51408,160435,231253,69.80982154163988,9.417422757491867,503833
California,6099,78494,81647,172146,48.598050189473256,14.538340106808182,541353
California,6101,18176,13076,33523,51.95098537466825,17.09642425001043,96058
California,6103,15494,6809,23908,74.51362270796643,20.90168525839028,63444
California,6105,2812,2214,5686,86.3303956497281,21.26743722598645,12839
California,6107,58299,47585,112334,34.73956674853318,24.664445731942834,460835
California,6109,14551,9123,25529,83.42407068588513,15.434817107038008,53787
California,6111,132323,194402,351726,50.98459831615633,9.76120888523968,851096
California,6113,20739,54752,82090,51.71853474160161,18.9808129735786,215959
California,6115,13170,7910,22998,62.06404130279562,16.608772048388186,75185
Colorado,8001,80082,96558,193665,56.19781204867279,11.730866397056884,497395
Colorado,8003,3046,3189,6939,52.05741626794258,24.77922077922078,16456
Colorado,8005,117053,159885,303046,66.040790836847,9.011374686808088,636949
Colorado,8007,4264,2500,7339,81.30182026112647,11.961046100683264,12836
Colorado,8009,1753,283,2153,88.11563169164882,20.195627157652474,3548
Colorado,8011,1188,590,1927,57.975843398583926,34.08634538152611,5681
Colorado,8013,41396,132334,188142,82.02973346816846,10.846188456099757,321173
Colorado,8014,14367,19731,37689,80.46912020217975,5.320709629607223,66509
Colorado,8015,5391,4888,11250,86.43250262816153,11.408938610937588,19082
Colorado,8017,925,132,1102,86.53421633554083,14.03899721448468,1834
Colorado,8019,2575,2729,5866,91.44310235219326,8.062098501070663,9361
Colorado,8021,1914,1771,4022,43.03562383927064,22.6946847960445,8072
Colorado,8023,588,1125,1848,35.4566902595214,30.363391655450876,3705
Colorado,8025,1079,339,1527,56.083020534334295,48.02481227554685,5254
Colorado,8027,2061,797,3066,91.99594731509625,13.616925500787755,4601
Colorado,8029,11655,4087,16790,84.66699801192843,17.83791060850835,30346
Colorado,8031,62690,244551,331852,60.04926649860075,14.020251867511918,694777
Colorado,8033,944,242,1255,91.03111653447223,13.213066796684544,2062
Colorado,8035,102573,68657,187499,85.32363471523252,3.393080119310393,327722
Colorado,8037,8990,14099,25223,72.29655990510084,7.887832381235928,54364
Colorado,8039,11705,3134,15978,91.40370521172639,6.042729591836735,25041
Colorado,8041,179228,108010,318967,74.3032095409812,11.50551838115532,686706
Colorado,8043,15122,5297,21973,80.0500089301661,17.509250988898813,46906
Colorado,8045,13132,11271,26470,74.47230906145175,9.108329736728528,58906
Colorado,8047,1566,1634,3576,89.65727033056176,7.48172079578303,5905
Colorado,8049,4494,3358,8588,91.07315501127941,8.167090641317445,15129
Colorado,8051,3289,5128,9412,89.73701560325252,13.824465666211916,16491
Colorado,8053,339,197,589,92.9245283018868,10,787
Colorado,8055,1883,1633,3783,65.66811909949165,21.862534519791346,6582
Colorado,8057,629,171,861,87.677304964539,14.085545722713864,1360
Colorado,8059,138177,160776,328882,81.72799395043843,6.998026548342461,570839
Colorado,8061,728,91,855,92.88425047438331,13.938053097345133,1348
Colorado,8063,2967,536,3702,81.04991394148021,14.261815140108741,7628
Colorado,8065,1270,1616,3199,66.54362416107382,14.622073578595318,7606
Colorado,8067,12587,15525,31150,81.83081543909984,10.915761831151174,55216
Colorado,8069,83430,93113,195980,86.33725014604855,11.182493657122146,338531
Colorado,8071,3710,2650,6793,56.17219007539891,21.59578471960858,14087
Colorado,8073,1892,409,2436,78.3838383838384,18.122555410691003,5562
Colorado,8075,7282,1851,9722,79.27472774222521,16.397488866233836,21925
Colorado,8077,49779,21729,77653,85.01715625454577,15.021550395033472,149794
Colorado,8079,344,237,652,93.01242236024845,9.315068493150685,755
Colorado,8081,5305,874,6525,83.99140752864157,12.907200616095496,13161
Colorado,8083,7853,3973,12858,77.7805337831134,15.068595566520878,25975
Colorado,8085,14382,5466,21186,80.74582618193166,16.37529563796845,41160
Colorado,8087,8145,3151,11960,64.29123960549217,11.65508756694167,28063
Colorado,8089,4928,2943,8452,59.050637470287406,23.631463702206503,18239
Colorado,8091,1351,1697,3310,93.17953861584755,8.785316560115488,4784
Colorado,8093,6135,3421,10417,91.71825560599808,9.223728216863227,17350
Colorado,8095,1791,436,2332,80.93480934809348,11.455621301775148,4281
Colorado,8097,2550,7333,10523,87.81051797040169,6.932595061867902,17894
Colorado,8099,3531,1186,5016,65.3134462263093,20.921189077082612,11989
Colorado,8101,36265,35875,78646,56.84949843309555,19.91265344664778,164834
Colorado,8103,2791,436,3450,87.02801461632156,9.475709475709476,6483
Colorado,8105,3085,2001,5534,55.79359594563464,17.507102272727273,11338
Colorado,8107,5230,7600,13986,92.04720880434242,7.240672406724068,24679
Colorado,8109,1147,1417,2835,64.38848920863309,27.6431718061674,6407
Colorado,8111,215,265,506,85.2892561983471,15.48480463096961,689
Colorado,8113,1033,2975,4329,88.69820655534942,10.147647647647648,7964
Colorado,8115,1015,267,1364,84.23827095413812,14.814814814814813,2405
Colorado,8117,5100,9557,16174,86.67686994741386,7.931205556474284,30332
Colorado,8119,9745,3603,14444,91.47632311977716,9.543359865940511,24040
Colorado,8121,2299,296,2733,90.3113258185722,14.294803817603393,4846
Colorado,8123,76651,46519,135428,70.87311182446047,11.542345333195007,294243
Colorado,8125,3850,726,4791,79.8684740303315,12.300010190563539,10118
Connecticut,9001,160077,243852,421209,65.40387239908142,8.635152237671319,949191
Connecticut,9003,148173,240403,406864,66.12729203499673,10.944906834086916,895497
Connecticut,9005,53051,39775,97442,91.39962870288159,7.169942926102865,183097
Connecticut,9007,38867,45357,88624,86.60890439218333,7.867584645854947,163433
Connecticut,9009,159048,205609,379006,68.08042575239969,11.413531532552316,859973
Connecticut,9011,54058,62278,123528,79.69262816803611,9.264335729226676,269307
Connecticut,9013,34194,38506,77424,86.78299625106595,7.205389684497295,151145
Connecticut,9015,25747,21792,50823,86.39661100990611,11.909858751242757,116042
Delaware,10001,36991,33351,74598,65.58414014303044,13.577804470194776,174754
Delaware,10003,85525,162919,262391,61.99240325155513,11.34856123363019,557851
Delaware,10005,62611,39333,106008,79.90343214956212,11.634517766497462,220093
District of Columbia,11001,12723,282830,311268,40.143941074677194,18.494191324970817,684336
Florida,12001,46834,75820,128571,65.32763506465935,22.319933666066046,264341
Florida,12003,10294,2112,12634,81.80910732959407,17.171757239190796,27915
Florida,12005,62194,21797,87453,80.59207085323756,14.941281237824903,182992
Florida,12007,8913,2924,12098,75.4581673306773,18.61569109481626,26728
Florida,12009,181848,119679,314752,78.61572684220255,14.693600621122357,577899
Florida,12011,260951,553320,831951,40.96135844820804,13.518442543965945,1917122
Florida,12013,4655,1241,6081,78.30437072143233,21.85208798214855,14361
Florida,12015,60218,33445,96374,86.87827014796817,12.618114509660538,178157
Florida,12017,54456,22789,79700,90.4370327774583,16.632417341024077,142990
Florida,12019,74963,27822,106483,76.79549951798671,9.57986122879817,207240
Florida,12021,105423,61085,170789,68.88891835976871,11.363787265121838,366095
Florida,12023,20368,7601,28707,74.97593840230992,17.838890620130883,69274
Florida,12027,6778,3781,10818,59.42455508621287,28.58851307840913,35925
Florida,12029,5822,1270,7202,85.4526503871352,25.405442550852115,16477
Florida,12031,211672,205704,432695,57.97225863096609,14.498374374175457,926380
Florida,12033,88808,57461,152469,68.90642963637028,15.231409625639516,311711
Florida,12035,33850,22026,57503,78.03470808543183,11.168831168831169,107805
Florida,12037,4125,1744,6015,79.00597226439923,23.083761359146582,11799
Florida,12039,6728,15020,22113,37.153897475814524,20.626722560622554,46155
Florida,12041,6740,1458,8420,89.39015429831007,17.269837388433796,17210
Florida,12043,2996,1271,4353,64.22002122391227,21.456677105918253,13460
Florida,12045,5329,1720,7293,74.9045240893067,23.461294416243657,16100
Florida,12047,3443,1904,5460,57.23667156312106,28.93649974186887,14324
Florida,12049,5242,2149,7583,53.262270699058014,23.82276894147144,27371
Florida,12051,6195,4615,11115,37.398036775888286,25.08070139193761,39640
Florida,12053,58970,31795,93796,82.08009063810847,15.372787610619469,182231
Florida,12055,29565,14937,45686,73.09148941238121,19.145661925931886,101558
Florida,12057,266870,307896,597660,53.85271687858708,15.017643053481567,1381627
Florida,12059,7483,853,8514,88.15475037137506,24.199207696661006,19407
Florida,12061,48620,29043,80009,80.13389134629892,12.326596906036158,151382
Florida,12063,14257,6397,21041,66.91980326699117,22.594424460431657,48292
Florida,12065,3930,3541,7645,62.1645172533984,18.890814558058924,13933
Florida,12067,2809,518,3392,71.30057803468208,23.345908299477657,8654
Florida,12069,102188,62838,170462,75.05491325190341,11.836405731655413,335431
Florida,12071,191551,124908,326420,73.27016478164403,12.804756657329442,722506
Florida,12073,53821,92068,152132,60.02195888713047,19.03475072671234,287074
Florida,12075,13775,5101,19395,83.10908066837725,21.399145752773777,39851
Florida,12077,2543,651,3296,72.11425206124854,23.624074670099773,8319
Florida,12079,4851,3526,8505,56.680436107537076,31.938393569368596,18306
Florida,12081,101944,71224,178958,77.10516550027751,12.664389111888244,375563
Florida,12083,107833,62041,174700,75.22014002639203,17.378803233484952,348139
Florida,12085,53204,30185,85792,82.94544298238972,11.34890925519556,158484
Florida,12086,333999,624146,980204,13.569157159171445,18.247021343066073,2736543
Florida,12087,21904,18971,42478,70.59263100103703,11.457546801364336,77304
Florida,12089,34266,10869,46607,89.10565541429197,10.307138212195488,79922
Florida,12091,71893,23780,100855,78.10229771257377,10.72300766293292,199915
Florida,12093,9356,3959,13653,68.2088565763384,20.16943716927682,40697
Florida,12095,195216,329894,546275,44.70811909158572,16.309599419757625,1323598
Florida,12097,50301,85458,140206,36.24461026559824,14.847792517406106,337990
Florida,12099,272402,374673,662332,60.37232749050965,12.573083799008309,1453768
Florida,12101,142101,90142,241139,79.29591952241039,13.252790347504861,510561
Florida,12103,239201,233701,492403,78.46507972153604,13.334950037487769,962106
Florida,12105,157430,117433,284314,65.34262175586761,16.369884554903543,667018
Florida,12107,22138,10094,33117,76.29538244624602,21.48655325757041,72404
Florida,12109,88684,43099,136514,85.51590980986768,7.677045899593295,235046
Florida,12111,70289,66881,140847,63.12970059634814,17.032044920258627,306079
Florida,12113,65339,18464,87745,84.82007038256329,10.567447767208431,170063
Florida,12115,124438,97870,229063,86.67929096068421,10.797490488498893,412879
Florida,12117,109443,105914,224896,64.66681703130091,11.449672329184164,456314
Florida,12119,52730,22638,76665,87.12391839326824,10.473489924182825,122121
Florida,12121,14287,3964,18694,78.18947854442617,20.384748528757232,43835
Florida,12123,6930,2152,9290,73.75056280954524,22.457738001779454,22118
Florida,12125,4568,1014,5694,68.13586736756976,24.675834970530452,15267
Florida,12127,143007,109091,260869,76.21150544711443,14.236683407341335,529038
Florida,12129,10512,4348,15351,79.71933181836303,13.068779359181098,31885
Florida,12131,25756,6876,33637,87.18593930080675,13.068030305406975,65440
Florida,12133,8637,2264,11156,79.01600777374315,22.827814870327472,24450
Georgia,13001,5494,1434,7012,73.04391721352852,19.724898368324332,18485
Georgia,13003,1878,697,2610,61.17452440033085,26.443067201361043,8320
Georgia,13005,3364,608,4020,77.20047449584816,22.905889826663035,11365
Georgia,13007,775,650,1440,50.34775888717156,27.756532823454428,3208
Georgia,13009,7697,7970,16116,55.729081045536745,26.026703149147473,45190
Georgia,13011,6134,684,6975,90.07574148793091,15.512540894220283,18309
Georgia,13013,21108,6580,29060,75.8487026089419,12.895821378266994,77091
Georgia,13015,29911,8212,39550,81.37298948692604,15.065218875913406,103431
Georgia,13017,3739,2101,5936,60.098368334764615,26.400709219858154,17190
Georgia,13019,5422,1047,6590,84.91643454038997,22.30465414175918,19014
Georgia,13021,24043,36787,62596,43.049724140324095,26.294714726186253,153205
Georgia,13023,3719,1101,4974,70.25019546520718,21.722975892162793,12898
Georgia,13025,5567,619,6301,94.2588876146789,20.83790907094224,18355
Georgia,13027,3701,2528,6336,60.62413201535822,24.91112403852369,15693
Georgia,13029,10529,4014,15173,76.66442767394997,9.592805395953036,35842
Georgia,13031,15097,9261,25316,66.68284681306909,24.045404655999075,74721
Georgia,13033,4491,4731,9351,50.822625195148305,26.73634374022958,22608
Georgia,13035,6717,2566,9514,67.76550914813036,16.989624295257496,23710
Georgia,13037,830,1179,2025,33.77760853008378,32.969619169875905,6393
Georgia,13039,12310,5930,18901,72.68367784760606,15.021323018942775,52416
Georgia,13043,2664,1026,3763,65.96241248003932,24.957571186121065,10915
Georgia,13045,30029,12464,44121,74.06164243757513,14.932454165326472,116291
Georgia,13047,20876,4771,26757,93.15414022780121,12.943235428397504,66267
Georgia,13049,2951,1004,4016,62.453963946501254,27.195608782435134,12751
Georgia,13051,45688,62290,112142,52.87681778163172,16.57182905262852,289390
Georgia,13053,751,594,1390,60.646292585170336,21.47818110339405,10100
Georgia,13055,6462,1613,8252,84.54441795376802,20.128040973111396,24833
Georgia,13057,80649,25231,112043,82.7746684342776,7.497138656129124,241600
Georgia,13059,12717,29603,44976,60.90330456011858,27.895646707527895,125018
Georgia,13061,566,697,1273,41.68421052631579,35.170781197159286,3006
Georgia,13063,12645,78220,92859,13.204437495643168,20.817568529011496,280006
Georgia,13065,1727,686,2455,69.14365189747666,26.028821868964492,6789
Georgia,13067,152912,160121,330819,56.680765747148676,9.960575941152777,750477
Georgia,13069,9588,4094,13915,61.36132746359634,23.00557985220932,43015
Georgia,13071,9898,3463,13624,60.76477957406192,25.043400845760072,45671
